date,americano,cafelatte,cafemoca,caramelmatk,icedamericano
2016-10-24,33.90643,21.71131,20.07197,32.50699,3.91843
2016-10-25,34.7461,24.51019,20.27189,32.90683,3.55857
2016-10-26,32.14714,23.79048,20.27189,32.82686,3.07876
2016-10-27,28.34866,23.11075,18.07277,30.78768,3.03878
2016-10-28,28.62854,23.03078,20.75169,29.988,2.75889
2016-10-29,25.90963,19.95201,21.19152,28.90843,2.11915
2016-10-30,29.14834,23.67053,22.39104,30.9876,2.63894
2016-10-31,32.70691,22.63094,20.03198,32.54698,3.11875
2016-11-01,29.78808,25.58976,21.47141,32.42702,2.11915
2016-11-02,31.10755,25.50979,22.03118,35.58576,2.71891
2016-11-03,31.78728,24.03038,20.83166,31.58736,2.03918
2016-11-04,27.46901,22.59096,18.11275,29.2283,2.15913
2016-11-05,26.82926,21.35145,19.43222,28.02878,2.27908
2016-11-06,29.54818,24.63014,19.2323,31.9872,2.91883
2016-11-07,31.54738,22.67093,19.91203,31.38744,2.67892
2016-11-08,31.54738,24.63014,19.47221,31.46741,2.55897
2016-11-09,32.30707,24.83006,20.51179,32.62694,2.95881
2016-11-10,31.18752,23.91043,19.39224,32.82686,2.71891
2016-11-11,27.50899,19.2323,18.2327,26.58936,2.11915
2016-11-12,26.94922,19.39224,17.07317,24.19032,2.11915
2016-11-13,28.50859,22.31107,19.75209,27.94882,3.2387
2016-11-14,33.66653,24.59016,19.07237,32.06717,3.83846
2016-11-15,34.54618,24.83006,20.07197,29.70811,1.9992
2016-11-16,33.90643,25.86965,21.75129,33.62654,2.95881
2016-11-17,34.66613,24.43022,20.51179,33.10675,2.63894
2016-11-18,31.34746,22.55097,19.63214,30.26789,2.87884
2016-11-19,28.58856,18.67253,17.79288,28.70851,2.79888
2016-11-20,30.30787,22.11115,21.15153,33.58656,3.11875
2016-11-21,32.70691,24.99,20.51179,32.46701,2.83886
2016-11-22,34.2263,24.39024,21.39144,32.94682,2.75889
2016-11-23,33.78648,22.95081,20.43182,32.30707,2.63894
2016-11-24,35.42582,21.15153,21.95121,34.2263,3.11875
2016-11-25,33.50659,20.67173,19.67213,31.46741,2.75889
2016-11-26,29.82806,24.95001,21.83126,32.82686,2.31907
2016-11-27,31.38744,24.11035,23.47061,34.34626,3.03878
2016-11-28,35.2259,21.27149,21.07157,35.26589,3.35865
2016-11-29,33.70651,23.87045,19.95201,35.02598,3.07876
2016-11-30,48.86045,23.35065,21.31147,32.50699,3.51859
2016-12-01,35.94562,22.39104,20.71171,29.54818,2.59896
2016-12-02,34.78608,22.43102,18.39264,34.10635,2.39904
2016-12-03,32.38704,24.91003,19.2323,32.82686,2.59896
2016-12-04,33.34666,25.2299,23.15073,34.54618,3.31867
2016-12-05,36.7453,23.51059,19.63214,33.62654,3.15873
2016-12-06,33.42662,25.94962,22.83086,35.70571,3.31867
2016-12-07,38.06477,25.2299,21.15153,33.26669,3.39864
2016-12-08,37.78488,24.2303,22.27109,36.54538,3.63854
2016-12-09,33.02678,25.38984,21.63134,34.7461,2.83886
2016-12-10,33.18672,25.86965,22.75089,32.94682,2.9988
2016-12-11,34.66613,26.06957,23.79048,37.34506,3.55857
2016-12-12,37.2251,25.42982,19.03238,34.42622,3.11875
2016-12-13,36.26549,26.02958,22.67093,32.42702,2.95881
2016-12-14,36.9852,25.38984,19.43222,34.50619,2.03918
2016-12-15,33.38664,22.71091,20.59176,34.06637,2.19912
2016-12-16,32.06717,26.02958,22.07117,33.06677,2.35905
2016-12-17,28.90843,25.10995,18.59256,29.70811,1.9992
2016-12-18,31.54738,23.27069,20.07197,32.9868,2.07916
2016-12-19,32.10715,24.67013,18.03278,31.78728,3.11875
2016-12-20,31.30747,23.15073,19.51219,32.06717,2.39904
2016-12-21,30.90763,21.15153,17.55297,32.66693,3.43862
2016-12-22,30.66773,21.19152,16.59336,28.82846,2.31907
2016-12-23,27.70891,21.87125,19.35225,29.2283,2.59896
2016-12-24,23.79048,19.75209,20.11195,28.38864,1.9992
2016-12-25,25.46981,20.9916,18.67253,27.82886,1.83926
2016-12-26,27.02918,20.07197,16.07357,28.82846,2.75889
2016-12-27,31.42742,21.2315,17.75289,30.62774,2.75889
2016-12-28,31.42742,24.43022,18.19272,31.26749,2.59896
2016-12-29,28.2287,21.47141,18.11275,29.988,2.43902
2016-12-30,27.06917,22.43102,16.79328,30.34786,2.75889
2016-12-31,27.02918,19.67213,16.51339,26.26949,2.51899
2017-01-01,23.35065,20.75169,17.27309,26.7493,1.95921
2017-01-02,29.66813,22.35105,18.15273,34.7461,3.2387
2017-01-03,32.46701,24.63014,18.67253,34.62614,3.71851
2017-01-04,32.38704,23.27069,18.95241,33.46661,3.75849
2017-01-05,31.94722,22.9908,20.15193,33.90643,3.27868
2017-01-06,31.50739,24.43022,17.63294,30.58776,2.9988
2017-01-07,29.94802,22.63094,18.63254,31.42742,3.31867
2017-01-08,30.9876,24.27029,19.27229,28.90843,4.27828
2017-01-09,33.42662,22.59096,19.39224,33.10675,3.79848
2017-01-10,32.30707,23.27069,19.43222,34.7461,3.43862
2017-01-11,33.2267,26.78928,20.87165,32.82686,3.63854
2017-01-12,33.10675,25.66973,21.19152,31.38744,3.55857
2017-01-13,30.50779,23.71051,22.15113,31.26749,2.63894
2017-01-14,27.30907,21.87125,20.19192,32.46701,1.91923
2017-01-15,28.10875,22.11115,20.83166,35.2259,2.11915
2017-01-16,33.50659,24.2303,20.63174,31.2275,3.07876
2017-01-17,33.10675,23.43062,19.07237,33.46661,3.43862
2017-01-18,35.90563,25.70971,19.63214,33.18672,3.51859
2017-01-19,33.78648,22.63094,18.35265,32.18712,4.19832
2017-01-20,29.34826,23.07077,19.95201,30.54778,2.87884
2017-01-21,28.7485,21.39144,18.27269,32.62694,3.39864
2017-01-22,30.86765,22.55097,18.83246,30.14794,3.15873
2017-01-23,33.62654,23.03078,18.79248,30.18792,2.35905
2017-01-24,36.14554,22.11115,19.11235,33.70651,3.27868
2017-01-25,29.70811,21.59136,18.59256,30.7477,3.2387
2017-01-26,29.66813,18.55257,16.55337,26.62934,2.27908
2017-01-27,25.26989,17.35305,15.43382,23.67053,2.2391
2017-01-28,25.78968,15.63374,14.95401,24.11035,2.31907
2017-01-29,27.66893,20.31187,23.43062,27.10915,2.79888
2017-01-30,34.26629,23.59056,22.47101,31.46741,4.35825
2017-01-31,33.38664,23.11075,20.95161,31.9872,3.03878
2017-02-01,34.54618,26.14954,20.91163,32.50699,4.19832
2017-02-02,36.62534,24.03038,21.35145,33.10675,3.2387
2017-02-03,37.38504,24.47021,18.63254,32.58696,2.9988
2017-02-04,32.70691,22.87085,19.79208,29.46821,3.4786
2017-02-05,36.30547,25.34986,19.91203,33.02678,3.75849
2017-02-06,33.46661,22.47101,17.87285,30.58776,4.03838
2017-02-07,40.06397,22.39104,19.51219,33.42662,4.59816
2017-02-08,39.82407,22.91083,20.55177,31.94722,3.4786
2017-02-09,37.42502,24.27029,19.63214,32.14714,4.59816
2017-02-10,35.94562,22.15113,16.87325,29.2283,3.43862
2017-02-11,34.62614,19.2323,18.03278,28.62854,3.55857
2017-02-12,37.26509,24.43022,20.91163,32.38704,3.59856
2017-02-13,42.22311,26.46941,21.47141,32.06717,4.15833
2017-02-14,38.7445,26.42942,20.71171,30.30787,3.35865
2017-02-15,38.18472,25.26989,19.11235,30.58776,3.75849
2017-02-16,38.9844,24.71011,18.51259,30.58776,4.75809
2017-02-17,34.58616,26.50939,18.9924,29.82806,3.35865
2017-02-18,35.58576,22.95081,20.59176,29.10835,3.43862
2017-02-19,34.7461,25.10995,20.35185,36.58536,4.11835
2017-02-20,36.58536,22.9908,18.27269,34.10635,3.4786
2017-02-21,38.70451,25.42982,19.71211,33.7465,4.2383
2017-02-22,35.66573,26.54938,20.35185,35.26589,4.59816
2017-02-23,34.62614,22.59096,19.47221,33.06677,3.75849
2017-02-24,38.46461,24.71011,19.47221,34.02638,3.79848
2017-02-25,30.62774,20.39184,20.67173,30.10795,3.55857
2017-02-26,32.7469,22.79088,19.31227,30.7477,4.67812
2017-02-27,35.82566,25.58976,18.15273,30.30787,3.91843
2017-02-28,35.94562,21.75129,16.87325,28.06877,5.35785
2017-03-01,32.46701,22.63094,18.03278,30.90763,4.63814
2017-03-02,32.78688,21.15153,14.87405,30.14794,4.15833
2017-03-03,32.30707,19.63214,14.43422,28.38864,4.71811
2017-03-04,33.18672,21.95121,18.2327,28.70851,5.27788
2017-03-05,35.58576,24.07037,17.87285,30.58776,5.31787
2017-03-06,35.90563,20.59176,17.15313,29.58816,3.95841
2017-03-07,37.14514,22.79088,21.15153,31.10755,4.31827
2017-03-08,38.54458,24.43022,23.03078,32.7469,3.71851
2017-03-09,38.78448,23.87045,20.59176,31.70731,4.91803
2017-03-10,30.90763,18.75249,16.79328,26.78928,5.03798
2017-03-11,31.02758,21.47141,24.91003,28.9884,4.39824
2017-03-12,32.78688,25.50979,27.18912,32.2271,4.67812
2017-03-13,35.94562,23.03078,21.63134,29.02838,6.11755
2017-03-14,35.02598,21.2315,19.35225,31.58736,5.39784
2017-03-15,35.06597,21.59136,19.79208,27.9888,6.39744
2017-03-16,33.42662,19.39224,17.71291,29.70811,5.87764
2017-03-17,32.90683,21.51139,17.2331,27.34906,5.39784
2017-03-18,28.9884,22.15113,19.15233,27.26909,5.15793
2017-03-19,32.82686,24.31027,20.59176,31.14754,5.4778
2017-03-20,35.42582,22.15113,19.31227,31.82726,5.87764
2017-03-21,34.42622,22.75089,17.35305,32.34706,6.75729
2017-03-22,34.58616,24.79008,17.71291,31.38744,5.79768
2017-03-23,33.66653,22.47101,18.31267,33.50659,5.63774
2017-03-24,29.50819,18.35265,15.67373,28.86845,5.4778
2017-03-25,29.7481,21.79128,18.47261,31.50739,5.35785
2017-03-26,32.46701,24.31027,19.83206,34.66613,5.27788
2017-03-27,33.38664,22.63094,15.79368,29.82806,5.07796
2017-03-28,37.50499,21.39144,15.51379,31.30747,5.9976
2017-03-29,35.78568,20.71171,17.75289,31.26749,6.87724
2017-03-30,32.54698,20.15193,16.27349,30.94762,7.35705
2017-03-31,30.7477,21.75129,17.19312,28.9884,5.51779
2017-04-01,30.66773,20.71171,17.91283,28.9884,4.91803
2017-04-02,34.58616,24.03038,19.55217,30.2279,6.79728
2017-04-03,36.9852,20.83166,14.63414,28.30867,7.51699
2017-04-04,34.90603,22.35105,15.59376,29.42822,7.95681
2017-04-05,37.18512,22.59096,17.75289,34.30627,6.31747
2017-04-06,37.82487,21.15153,17.11315,31.82726,6.95721
2017-04-07,34.86605,21.63134,15.71371,29.7481,8.11675
2017-04-08,32.42702,19.67213,17.43302,28.06877,7.07716
2017-04-09,34.58616,23.95041,18.03278,31.90723,7.87684
2017-04-10,37.58496,20.95161,17.39304,29.30827,8.87644
2017-04-11,43.18272,24.07037,17.79288,30.86765,8.63654
2017-04-12,41.86325,24.87005,17.87285,33.34666,8.67652
2017-04-13,37.26509,22.95081,20.35185,32.82686,8.71651
2017-04-14,35.90563,23.2307,19.75209,30.9876,8.4766
2017-04-15,32.46701,25.82966,19.75209,39.42423,11.11555
2017-04-16,38.38464,24.79008,18.07277,38.54458,9.996
2017-04-17,44.66213,23.35065,20.2319,39.30427,8.75649
2017-04-18,39.42423,23.07077,19.67213,39.14434,9.95601
2017-04-19,39.30427,24.47021,21.2315,38.18472,9.59616
